historial_crediticio,nivel_endeudamiento,ingresos_mensuales,edad,tipo_empleo,aprobacion
Malo,0.75,1843696,58,Temporal,No
Malo,0.75,1958215,35,Dependiente,Sí
Bueno,0.75,3561079,39,Dependiente,Sí
Bueno,0.2,2952091,23,Temporal,Sí
Malo,0.2,1910723,39,Temporal,Sí
Bueno,0.75,2058796,28,Dependiente,Sí
Regular,0.75,2806658,29,Temporal,Sí
Regular,0.2,2649207,30,Dependiente,Sí
Bueno,0.55,2421348,25,Dependiente,Sí
Bueno,0.35,2842241,31,Dependiente,Sí
Regular,0.75,2372723,57,Dependiente,No
Excelente,0.2,2882811,26,Temporal,Sí
Bueno,0.35,1469464,52,Dependiente,No
Malo,0.35,1454777,31,Dependiente,Sí
Bueno,0.55,1510554,23,Dependiente,Sí
Malo,0.75,1541782,23,Temporal,No
Bueno,0.35,1705280,27,Dependiente,Sí
Malo,0.75,2288428,50,Dependiente,Sí
Excelente,0.75,2732830,61,Dependiente,No
Excelente,0.35,1663779,25,Dependiente,No
Bueno,0.75,1486954,26,Dependiente,Sí
Bueno,0.75,2776852,48,Dependiente,Sí
Bueno,0.35,1314041,29,Dependiente,Sí
Bueno,0.75,5505492,22,Dependiente,Sí
Bueno,0.75,1296915,37,Dependiente,No
Bueno,0.75,2980330,25,Dependiente,Sí
Bueno,0.2,2203918,30,Dependiente,Sí
Malo,0.75,2157688,46,Temporal,Sí
Malo,0.55,1448614,51,Dependiente,Sí
Malo,0.35,2486109,41,Temporal,Sí
Bueno,0.75,3072343,40,Dependiente,No
Malo,0.75,2577251,66,Dependiente,Sí
Bueno,0.75,2092518,34,Dependiente,No
Regular,0.35,1425883,51,Dependiente,Sí
Excelente,0.35,2037698,39,Temporal,Sí
Bueno,0.35,1283098,22,Dependiente,Sí
Bueno,0.2,2654922,44,Dependiente,No
Bueno,0.75,4121936,47,Dependiente,Sí
Bueno,0.55,2263257,24,Temporal,Sí
Bueno,0.75,1539151,58,Temporal,Sí
Bueno,0.55,1925132,52,Temporal,Sí
Malo,0.75,1622738,29,Dependiente,Sí
Malo,0.75,2041063,27,Dependiente,Sí
Bueno,0.2,2692580,47,Dependiente,No
Bueno,0.75,3346307,30,Dependiente,Sí
Excelente,0.75,1995267,28,Dependiente,No
Malo,0.75,1626567,56,Dependiente,Sí
Malo,0.75,2552661,54,Dependiente,Sí
Malo,0.75,3169413,33,Temporal,No
Malo,0.75,2810298,20,Dependiente,Sí
Bueno,0.75,6512901,54,Dependiente,Sí
Excelente,0.55,1749837,58,Dependiente,No
Malo,0.75,2512509,61,Dependiente,Sí
Bueno,0.75,2398557,34,Dependiente,Sí
Malo,0.75,1479653,36,Dependiente,Sí
Regular,0.55,1828020,36,Dependiente,Sí
Bueno,0.75,2212801,41,Temporal,Sí
Bueno,0.75,2230066,24,Dependiente,Sí
Regular,0.55,1608662,24,Dependiente,Sí
Malo,0.75,2047256,35,Dependiente,Sí
Bueno,0.35,2718282,26,Dependiente,Sí
Malo,0.35,1524079,39,Dependiente,No
Excelente,0.35,2080197,39,Dependiente,No
Bueno,0.35,2400438,32,Dependiente,Sí
Bueno,0.2,1751037,30,Dependiente,Sí
Bueno,0.2,3138563,35,Dependiente,Sí
Regular,0.2,2646782,31,Dependiente,Sí
Bueno,0.75,1339108,23,Dependiente,Sí
Bueno,0.55,2649467,28,Temporal,Sí
Malo,0.75,2250556,25,Dependiente,No
Bueno,0.55,4140126,35,Dependiente,Sí
Malo,0.75,3368629,47,Dependiente,Sí
Bueno,0.75,2976058,30,Dependiente,No
Malo,0.35,1690862,27,Dependiente,Sí
Malo,0.2,3838838,23,Dependiente,No
Malo,0.55,3639914,36,Dependiente,Sí
Bueno,0.55,2249672,25,Dependiente,No
Malo,0.75,2837902,41,Dependiente,Sí
Bueno,0.55,1613404,24,Temporal,Sí
Malo,0.75,1611681,63,Dependiente,Sí
Bueno,0.75,1749807,27,Dependiente,No
Malo,0.75,1755240,30,Dependiente,Sí
Bueno,0.75,2263419,40,Temporal,Sí
Bueno,0.75,2318949,30,Dependiente,No
Malo,0.75,1088133,34,Dependiente,Sí
Malo,0.55,1863971,29,Dependiente,No
Bueno,0.2,2338728,24,Dependiente,Sí
Regular,0.75,1488740,29,Dependiente,No
Bueno,0.35,1288033,27,Temporal,Sí
Bueno,0.75,1638899,47,Dependiente,Sí
Bueno,0.35,3432080,21,Dependiente,Sí
Malo,0.75,2381765,38,Dependiente,Sí
Regular,0.35,4796976,27,Dependiente,Sí
Bueno,0.75,3554528,66,Temporal,No
Malo,0.75,2249988,35,Dependiente,Sí
Bueno,0.35,2463316,44,Temporal,Sí
Bueno,0.35,5610812,27,Temporal,Sí
Bueno,0.75,1450951,30,Dependiente,Sí
Bueno,0.55,1846423,27,Dependiente,Sí
Bueno,0.35,1591141,22,Dependiente,No
Malo,0.75,1491778,23,Dependiente,Sí
Excelente,0.75,2036805,30,Dependiente,Sí
Malo,0.2,2390920,39,Dependiente,Sí
Malo,0.75,2754125,51,Dependiente,Sí
Malo,0.55,1266922,28,Dependiente,Sí
Malo,0.75,5035939,46,Dependiente,Sí
Bueno,0.35,3685886,42,Dependiente,Sí
Bueno,0.2,1511430,38,Dependiente,Sí
Bueno,0.75,1388363,24,Dependiente,Sí
Malo,0.35,5668358,29,Dependiente,Sí
Regular,0.75,3497901,36,Dependiente,Sí
Bueno,0.35,1514671,20,Dependiente,No
Malo,0.55,3289187,48,Dependiente,Sí
Excelente,0.75,2628126,45,Temporal,Sí
Bueno,0.35,2345961,38,Dependiente,Sí
Malo,0.2,2592324,34,Temporal,Sí
Malo,0.55,2777875,36,Dependiente,Sí
Malo,0.75,1920897,30,Dependiente,Sí
Bueno,0.75,3795324,36,Dependiente,Sí
Bueno,0.35,1706856,70,Dependiente,Sí
Bueno,0.75,3162521,36,Dependiente,Sí
Bueno,0.2,3752953,32,Dependiente,Sí
Bueno,0.75,1455312,33,Dependiente,No
Bueno,0.75,3767981,20,Dependiente,Sí
Bueno,0.35,1378308,25,Dependiente,Sí
Malo,0.75,2361792,31,Dependiente,No
Excelente,0.75,2497000,33,Dependiente,No
Bueno,0.75,1221564,26,Dependiente,Sí
Regular,0.55,1679148,34,Dependiente,No
Bueno,0.75,1494444,33,Dependiente,Sí
Regular,0.35,1936788,26,Dependiente,No
Excelente,0.75,1585394,53,Dependiente,No
Bueno,0.35,2098219,42,Dependiente,Sí
Malo,0.75,3696123,52,Dependiente,Sí
Bueno,0.75,2659523,31,Dependiente,Sí
Malo,0.75,1654532,65,Dependiente,Sí
Regular,0.2,1561216,28,Dependiente,No
Regular,0.35,1347515,30,Dependiente,No
Excelente,0.75,2887040,40,Temporal,No
Malo,0.75,5693348,50,Dependiente,Sí
Malo,0.75,1842388,36,Dependiente,No
Malo,0.75,2057979,31,Dependiente,Sí
Excelente,0.35,2714866,74,Dependiente,No
Malo,0.35,1729584,68,Temporal,Sí
Bueno,0.75,2795661,20,Dependiente,No
Excelente,0.2,1514407,33,Dependiente,Sí
Bueno,0.35,3732756,54,Dependiente,No
Excelente,0.75,3361712,34,Temporal,No
Bueno,0.75,2370543,36,Dependiente,No
Bueno,0.35,2225335,29,Dependiente,Sí
Bueno,0.75,2274641,21,Dependiente,No
Malo,0.35,1984766,34,Dependiente,No
Malo,0.2,2143742,28,Dependiente,Sí
Bueno,0.75,2903156,27,Dependiente,No
Bueno,0.75,3396755,36,Dependiente,Sí
Regular,0.75,2656605,40,Dependiente,No
Malo,0.75,4155656,52,Dependiente,Sí
Bueno,0.75,1309381,27,Temporal,Sí
Regular,0.55,1551129,26,Dependiente,Sí
Bueno,0.75,2604932,21,Dependiente,No
Malo,0.75,2386029,38,Temporal,Sí
Malo,0.55,1454347,38,Dependiente,Sí
Malo,0.75,1598295,43,Dependiente,Sí
Malo,0.75,2268807,26,Dependiente,Sí
Bueno,0.35,1206580,21,Temporal,Sí
Bueno,0.55,4292222,55,Dependiente,Sí
Malo,0.2,2323100,33,Dependiente,Sí
Bueno,0.35,3045411,45,Temporal,Sí
Excelente,0.35,1842794,50,Dependiente,No
Regular,0.75,1789860,66,Dependiente,No
Malo,0.75,3081922,51,Dependiente,Sí
Malo,0.2,2041460,39,Temporal,Sí
Excelente,0.55,1785321,31,Dependiente,Sí
Bueno,0.35,2170438,23,Dependiente,Sí
Bueno,0.35,2044522,24,Temporal,Sí
Bueno,0.35,2303990,64,Dependiente,Sí
Bueno,0.75,1952151,26,Temporal,Sí
Bueno,0.75,2352462,23,Dependiente,Sí
Bueno,0.75,1321777,30,Dependiente,Sí
Regular,0.75,2051573,32,Dependiente,Sí
Bueno,0.55,1544763,30,Dependiente,Sí
Excelente,0.75,1517186,27,Dependiente,Sí
Bueno,0.2,6525779,27,Dependiente,No
Bueno,0.75,2053232,53,Dependiente,No
Bueno,0.75,2595626,22,Dependiente,No
Bueno,0.75,1919456,22,Dependiente,Sí
Bueno,0.75,2233254,26,Dependiente,No
Bueno,0.35,3904746,51,Temporal,Sí
Bueno,0.55,2868431,35,Dependiente,Sí
Bueno,0.75,1840273,25,Temporal,Sí
Malo,0.35,1599197,42,Temporal,Sí
Bueno,0.75,1925268,30,Dependiente,No
Bueno,0.2,1729042,23,Temporal,No
Bueno,0.75,2200850,61,Temporal,No
Malo,0.75,2039113,35,Dependiente,Sí
Bueno,0.2,1716292,39,Dependiente,Sí
Bueno,0.75,3492825,29,Dependiente,No
Bueno,0.55,2684117,51,Dependiente,Sí
Excelente,0.55,2867188,24,Dependiente,No
Malo,0.55,1681206,27,Dependiente,Sí
Excelente,0.75,2523184,35,Temporal,Sí
Bueno,0.75,2647495,25,Dependiente,Sí
Malo,0.75,2107967,52,Dependiente,Sí
Excelente,0.75,3153316,35,Dependiente,Sí
Bueno,0.35,2452705,26,Dependiente,Sí
Bueno,0.55,2078021,22,Dependiente,No
Malo,0.55,4659734,39,Temporal,Sí
Bueno,0.2,1700627,46,Temporal,Sí
Bueno,0.75,2306477,24,Dependiente,No
Regular,0.35,2243690,35,Dependiente,Sí
Bueno,0.35,1929663,24,Dependiente,Sí
Regular,0.2,2335201,27,Temporal,Sí
Malo,0.75,2417001,35,Temporal,Sí
Excelente,0.75,2104838,29,Dependiente,No
Bueno,0.2,2468181,23,Dependiente,Sí
Malo,0.75,1742442,57,Temporal,Sí
Bueno,0.35,1999509,27,Dependiente,Sí
Bueno,0.75,2984484,55,Dependiente,Sí
Malo,0.35,1658531,36,Dependiente,Sí
Malo,0.35,2248594,57,Temporal,Sí
Malo,0.55,2808701,32,Temporal,Sí
Bueno,0.75,2595599,37,Dependiente,No
Malo,0.75,3054628,36,Dependiente,Sí
Bueno,0.75,2007567,38,Dependiente,Sí
Bueno,0.2,2000806,45,Dependiente,No
Bueno,0.75,2328465,25,Dependiente,Sí
Bueno,0.75,2985445,32,Dependiente,Sí
Malo,0.55,4086687,37,Dependiente,Sí
Excelente,0.75,2520547,36,Dependiente,Sí
Bueno,0.75,2625933,28,Dependiente,No
Bueno,0.2,1771507,34,Temporal,No
Bueno,0.2,1851971,32,Dependiente,Sí
Malo,0.35,2237783,26,Dependiente,Sí
Bueno,0.35,2969935,49,Temporal,Sí
Bueno,0.2,2006929,32,Dependiente,No
Bueno,0.75,2914109,29,Dependiente,Sí
Malo,0.55,6870016,23,Dependiente,Sí
Bueno,0.75,1639393,50,Dependiente,Sí
Excelente,0.75,2269711,49,Temporal,Sí
Malo,0.75,1969167,63,Dependiente,Sí
Malo,0.75,2479112,37,Dependiente,Sí
Bueno,0.2,1184388,35,Temporal,Sí
Bueno,0.75,1985805,26,Dependiente,Sí
Regular,0.35,2303732,31,Dependiente,Sí
Bueno,0.75,1572503,49,Dependiente,Sí
Regular,0.75,1869679,48,Dependiente,No
Bueno,0.35,1239650,26,Dependiente,Sí
Bueno,0.2,1186125,28,Dependiente,No
Malo,0.35,2723256,44,Dependiente,Sí
Malo,0.75,2001897,56,Dependiente,Sí
Malo,0.75,2028708,46,Dependiente,Sí
Bueno,0.2,1784970,26,Dependiente,No
Bueno,0.2,2522240,20,Dependiente,Sí
Bueno,0.75,2188477,45,Temporal,Sí
Bueno,0.55,2009757,43,Dependiente,Sí
Malo,0.55,4084705,32,Dependiente,Sí
Bueno,0.2,1140467,54,Temporal,Sí
Excelente,0.75,1890761,42,Dependiente,No
Malo,0.75,2542047,37,Temporal,No
Malo,0.75,2231524,49,Dependiente,Sí
Malo,0.35,3589137,44,Dependiente,No
Bueno,0.75,5939630,33,Dependiente,Sí
Bueno,0.35,2501895,24,Temporal,Sí
Bueno,0.75,2139532,33,Temporal,No
Bueno,0.55,2233742,24,Dependiente,No
Bueno,0.75,1552081,22,Temporal,Sí
Bueno,0.55,1942611,40,Temporal,Sí
Bueno,0.75,1909838,25,Dependiente,Sí
Bueno,0.35,1171308,26,Dependiente,Sí
Bueno,0.35,2696587,25,Temporal,No
Bueno,0.2,2616271,29,Temporal,Sí
Excelente,0.75,2525719,31,Dependiente,No
Bueno,0.35,1731638,38,Temporal,Sí
Bueno,0.2,1759941,48,Temporal,Sí
Malo,0.75,1403368,32,Dependiente,Sí
Regular,0.2,1830378,27,Temporal,Sí
Malo,0.75,1722595,28,Dependiente,No
Bueno,0.75,2022525,32,Dependiente,No
Bueno,0.35,2264082,34,Dependiente,Sí
Bueno,0.75,4199834,28,Dependiente,Sí
Malo,0.75,2441324,36,Dependiente,Sí
Malo,0.2,2375192,39,Temporal,Sí
Malo,0.35,2797837,49,Dependiente,Sí
Bueno,0.75,5532232,34,Dependiente,Sí
Bueno,0.75,2094576,31,Dependiente,Sí
Bueno,0.75,1826460,28,Dependiente,Sí
Malo,0.35,1496488,75,Dependiente,Sí
Malo,0.75,2860984,30,Dependiente,No
Bueno,0.75,1729143,24,Dependiente,No
Malo,0.35,1962501,24,Temporal,No
Excelente,0.55,1511764,23,Dependiente,No
Malo,0.2,1252947,44,Dependiente,No
Bueno,0.35,2196493,23,Temporal,Sí
Bueno,0.75,2555486,24,Dependiente,No
Bueno,0.75,1816425,28,Dependiente,Sí
Bueno,0.75,1327184,31,Temporal,Sí
Malo,0.35,1747145,24,Dependiente,Sí
Bueno,0.2,1997064,26,Temporal,Sí
Bueno,0.2,2621812,25,Dependiente,Sí
Bueno,0.2,2116808,33,Dependiente,Sí
Bueno,0.2,1632153,37,Temporal,Sí
Malo,0.75,2000605,43,Temporal,Sí
Malo,0.75,1924340,23,Dependiente,Sí
Bueno,0.2,2311160,23,Temporal,Sí
Regular,0.2,2324457,34,Temporal,Sí
Malo,0.75,6077579,32,Dependiente,No
Bueno,0.2,1761373,23,Dependiente,Sí
Bueno,0.2,2313436,29,Dependiente,No
Malo,0.35,2239236,38,Dependiente,Sí
Excelente,0.75,1411814,28,Dependiente,No
Bueno,0.75,3127023,46,Dependiente,Sí
Bueno,0.75,1933387,23,Temporal,No
Malo,0.2,1847720,49,Dependiente,Sí
Regular,0.75,1961508,26,Dependiente,No
Bueno,0.75,2422299,28,Dependiente,Sí
Bueno,0.75,2142928,23,Dependiente,No
Bueno,0.75,2082254,61,Dependiente,Sí
Bueno,0.35,2957918,37,Dependiente,Sí
Regular,0.35,1795728,36,Dependiente,Sí
Bueno,0.2,1909301,21,Dependiente,Sí
Bueno,0.75,2181513,25,Temporal,No
Bueno,0.35,1872126,36,Dependiente,Sí
Malo,0.55,2694502,27,Dependiente,Sí
Bueno,0.2,2258108,22,Dependiente,Sí
Bueno,0.75,1745434,42,Dependiente,No
Bueno,0.35,1419186,40,Dependiente,Sí
Bueno,0.75,1651167,36,Dependiente,Sí
Malo,0.55,1468426,33,Dependiente,Sí
Malo,0.2,1256637,23,Dependiente,Sí
Malo,0.35,3029412,63,Dependiente,Sí
Excelente,0.55,2279596,60,Dependiente,No
Excelente,0.35,1776135,37,Dependiente,No
Regular,0.35,2068504,34,Dependiente,Sí
Regular,0.55,1841889,36,Dependiente,Sí
Bueno,0.75,2710570,57,Dependiente,No
Malo,0.75,2194596,52,Temporal,Sí
Bueno,0.75,1844971,39,Dependiente,Sí
Bueno,0.55,1895182,38,Dependiente,No
Bueno,0.75,2687755,25,Dependiente,Sí
Bueno,0.75,2223677,26,Dependiente,Sí
Regular,0.35,2829099,26,Temporal,Sí
Malo,0.35,2244525,25,Dependiente,Sí
Bueno,0.75,1826899,21,Dependiente,Sí
Malo,0.75,1287604,40,Dependiente,Sí
Malo,0.35,3625922,27,Dependiente,Sí
Bueno,0.55,2473773,27,Dependiente,Sí
Bueno,0.35,2487656,30,Dependiente,Sí
Bueno,0.2,4304966,19,Temporal,Sí
Bueno,0.35,1851985,39,Dependiente,Sí
Malo,0.2,2430270,31,Dependiente,Sí
Malo,0.35,1478740,31,Dependiente,Sí
Regular,0.35,3413366,32,Dependiente,Sí
Bueno,0.55,2084342,55,Dependiente,Sí
Malo,0.55,1757692,46,Dependiente,Sí
Bueno,0.2,2611358,46,Dependiente,No
Malo,0.75,5386357,43,Temporal,Sí
Bueno,0.55,1267357,39,Dependiente,Sí
Malo,0.75,2853829,28,Dependiente,Sí
Regular,0.35,1763986,27,Dependiente,No
Regular,0.75,2274394,27,Temporal,Sí
Regular,0.75,2376089,43,Dependiente,Sí
Bueno,0.2,2245971,22,Dependiente,No
Malo,0.75,2292182,43,Dependiente,Sí
Bueno,0.75,1153384,27,Dependiente,Sí
Bueno,0.55,4629687,26,Dependiente,Sí
Malo,0.75,2900623,28,Dependiente,No
Bueno,0.75,1938129,20,Dependiente,Sí
Malo,0.55,2678588,35,Dependiente,Sí
Malo,0.75,2192210,42,Dependiente,No
Bueno,0.55,3360156,40,Temporal,Sí
Bueno,0.75,2447755,35,Dependiente,No
Malo,0.35,2139575,35,Dependiente,Sí
Bueno,0.75,1502115,33,Temporal,No
Regular,0.2,1992996,23,Dependiente,Sí
Bueno,0.2,3859655,31,Dependiente,Sí
Bueno,0.75,2628561,33,Dependiente,No
Bueno,0.35,6026842,20,Dependiente,Sí
Bueno,0.75,2684427,30,Dependiente,Sí
Malo,0.35,1450424,47,Temporal,Sí
Regular,0.75,2741407,34,Dependiente,Sí
Bueno,0.2,1903605,25,Dependiente,No
Bueno,0.2,1914387,21,Dependiente,Sí
Malo,0.75,2128787,29,Dependiente,Sí
Malo,0.75,5719260,46,Dependiente,Sí
Bueno,0.2,1987427,20,Dependiente,Sí
Malo,0.35,1216968,55,Temporal,No
Bueno,0.2,1524478,74,Temporal,Sí
Bueno,0.35,2189963,29,Dependiente,No
Malo,0.75,1803315,36,Dependiente,Sí
Malo,0.75,1331459,33,Dependiente,Sí
Bueno,0.55,1309338,25,Dependiente,Sí
Bueno,0.35,2551453,25,Dependiente,No
Bueno,0.35,2870058,23,Temporal,Sí
Malo,0.75,6665580,37,Dependiente,Sí
Malo,0.75,1906303,65,Temporal,Sí
Excelente,0.75,1240465,26,Temporal,No
Bueno,0.75,1572346,39,Dependiente,Sí
Bueno,0.35,2482631,30,Dependiente,Sí
Regular,0.35,1686552,29,Dependiente,Sí
Bueno,0.75,2018201,41,Temporal,No
Malo,0.35,2256639,30,Dependiente,No
Malo,0.75,3505047,41,Temporal,Sí
Bueno,0.75,2357711,34,Dependiente,No
Bueno,0.35,2179391,35,Dependiente,Sí
Bueno,0.55,2477267,55,Dependiente,Sí
Regular,0.55,3708751,61,Dependiente,No
Malo,0.75,2665720,30,Dependiente,Sí
Bueno,0.55,1925925,29,Dependiente,Sí
Excelente,0.35,2101786,34,Dependiente,Sí
Bueno,0.75,2853912,35,Dependiente,Sí
Bueno,0.35,1479012,31,Dependiente,No
Bueno,0.75,1748392,29,Dependiente,Sí
Malo,0.35,1214759,36,Dependiente,Sí
Bueno,0.55,2171110,35,Dependiente,No
Bueno,0.75,1209534,27,Dependiente,Sí
Bueno,0.55,1286740,32,Dependiente,Sí
Bueno,0.2,1352784,37,Dependiente,Sí
Bueno,0.35,1941774,36,Dependiente,Sí
Bueno,0.55,2061365,34,Dependiente,Sí
Bueno,0.75,2850063,38,Dependiente,Sí
Bueno,0.75,2695906,34,Dependiente,Sí
Bueno,0.55,1687331,63,Dependiente,Sí
Regular,0.75,1492854,29,Temporal,No
Regular,0.55,3363478,32,Dependiente,Sí
Regular,0.35,1490674,26,Dependiente,Sí
Regular,0.55,2697408,35,Temporal,Sí
Bueno,0.55,1726165,22,Dependiente,No
Bueno,0.75,2337800,23,Dependiente,No
Bueno,0.75,1256107,28,Temporal,No
Bueno,0.75,2553043,36,Dependiente,Sí
Malo,0.75,1886011,33,Dependiente,No
Excelente,0.2,2366311,26,Dependiente,No
Bueno,0.75,2610694,24,Dependiente,Sí
Bueno,0.75,2112011,25,Dependiente,Sí
Bueno,0.55,3472725,39,Temporal,Sí
Malo,0.75,2256032,44,Dependiente,Sí
Malo,0.2,2018218,23,Temporal,Sí
Bueno,0.75,1999249,26,Dependiente,Sí
Bueno,0.75,5563623,57,Dependiente,Sí
Regular,0.55,5575784,30,Dependiente,Sí
Malo,0.75,3376471,44,Dependiente,Sí
Regular,0.75,2134354,47,Dependiente,No
Bueno,0.35,1259080,52,Dependiente,Sí
Bueno,0.75,1878302,62,Dependiente,Sí
Bueno,0.55,3130576,35,Temporal,Sí
Bueno,0.35,2357342,26,Dependiente,Sí
Malo,0.35,2150824,26,Dependiente,Sí
Excelente,0.35,2407406,42,Dependiente,No
Malo,0.2,2188333,27,Dependiente,Sí
Bueno,0.75,2138618,38,Dependiente,Sí
Malo,0.55,1802807,39,Temporal,Sí
Bueno,0.35,2030028,20,Dependiente,No
Bueno,0.75,2486262,29,Dependiente,No
Malo,0.75,1431160,40,Dependiente,Sí
Bueno,0.75,2960055,32,Temporal,Sí
Malo,0.35,3816834,28,Dependiente,Sí
Bueno,0.75,2002229,27,Dependiente,No
Bueno,0.35,2276310,42,Dependiente,Sí
Bueno,0.35,2680006,49,Dependiente,Sí
Malo,0.75,2792347,38,Dependiente,No
Bueno,0.75,1985642,24,Dependiente,No
Bueno,0.75,1743925,27,Temporal,No
Malo,0.35,3866390,36,Dependiente,Sí
Excelente,0.2,2656396,34,Dependiente,No
Bueno,0.75,2434739,28,Dependiente,Sí
Bueno,0.75,3379208,45,Dependiente,Sí
Bueno,0.75,2197183,26,Dependiente,No
Bueno,0.35,1743715,32,Dependiente,Sí
Bueno,0.35,2653801,26,Dependiente,Sí
Regular,0.75,2325883,20,Dependiente,Sí
Bueno,0.75,1489436,54,Dependiente,Sí
Malo,0.75,1357704,37,Dependiente,Sí
Malo,0.35,1604932,40,Temporal,Sí
Malo,0.35,2141033,23,Dependiente,No
Bueno,0.55,3818623,43,Dependiente,Sí
Malo,0.75,2070750,36,Dependiente,Sí
Malo,0.55,2366843,44,Dependiente,Sí
Bueno,0.35,1695158,24,Dependiente,No
Excelente,0.55,2460888,53,Dependiente,No
Bueno,0.55,3276863,23,Dependiente,Sí
Bueno,0.75,2289827,26,Temporal,Sí
Bueno,0.35,1718836,30,Dependiente,Sí
Malo,0.75,2380747,31,Dependiente,Sí
Malo,0.35,1710972,42,Temporal,Sí
Bueno,0.75,1273288,31,Dependiente,No
Bueno,0.55,2207932,41,Temporal,Sí
Bueno,0.55,2482448,32,Dependiente,Sí
Bueno,0.35,3199604,28,Dependiente,No
Regular,0.75,2495627,41,Dependiente,Sí
Bueno,0.75,2835364,26,Dependiente,Sí
Bueno,0.75,2520807,25,Dependiente,Sí
Malo,0.35,2306785,33,Dependiente,No
Bueno,0.75,2497023,75,Dependiente,Sí
Malo,0.55,1825863,37,Dependiente,Sí
Bueno,0.75,2142848,42,Dependiente,No
Bueno,0.2,1299511,45,Temporal,Sí
Bueno,0.2,2318253,23,Dependiente,No
Regular,0.75,2385632,60,Dependiente,Sí
Bueno,0.75,2211557,31,Dependiente,No
Bueno,0.35,2073210,34,Temporal,No
Malo,0.75,2404280,61,Temporal,Sí
Regular,0.75,1499050,43,Dependiente,No
Malo,0.75,1347624,37,Dependiente,Sí
Bueno,0.55,2280349,32,Dependiente,Sí
Excelente,0.75,1876400,24,Temporal,No
Malo,0.35,2924325,35,Dependiente,Sí
Malo,0.75,2508269,23,Dependiente,Sí
Excelente,0.35,4533926,45,Temporal,Sí
Bueno,0.2,2109226,34,Dependiente,No
Malo,0.75,2456047,27,Dependiente,Sí
Bueno,0.75,2573614,67,Dependiente,Sí
Bueno,0.35,1638301,22,Dependiente,No
Excelente,0.55,1888240,28,Dependiente,No
Excelente,0.2,1543174,29,Dependiente,No
Excelente,0.55,2399846,27,Dependiente,No
Malo,0.35,1906082,31,Temporal,No
Bueno,0.75,3067343,49,Dependiente,Sí
Excelente,0.75,1624538,24,Temporal,No
Regular,0.35,1308418,29,Dependiente,Sí
Bueno,0.2,1521816,37,Dependiente,No
Regular,0.75,2025881,37,Dependiente,Sí
Regular,0.55,2888473,23,Dependiente,Sí
Bueno,0.35,1880908,36,Dependiente,No
Malo,0.35,5512424,34,Dependiente,Sí
Bueno,0.75,3141861,41,Dependiente,Sí
Bueno,0.55,1652732,31,Dependiente,No
Bueno,0.75,1774777,23,Temporal,No
Malo,0.55,2440623,38,Dependiente,Sí
Bueno,0.35,1885332,26,Dependiente,Sí
Bueno,0.75,2008712,22,Temporal,Sí
Bueno,0.75,2785287,27,Temporal,Sí
Malo,0.35,2677814,24,Dependiente,Sí
Bueno,0.35,1530315,27,Dependiente,Sí
Malo,0.55,2889881,33,Dependiente,Sí
Malo,0.75,1747763,27,Dependiente,No
Bueno,0.75,1458931,27,Temporal,Sí
Malo,0.55,2156251,30,Dependiente,No
Malo,0.2,2350340,49,Temporal,Sí
Bueno,0.75,1840403,26,Dependiente,Sí
